Temperature,Resistance
-40,1368.58
-39,1286.81
-38,1210.44
-37,1139.08
-36,1072.37
-35,1009.98
-34,951.6
-33,896.95
-32,845.77
-31,797.82
-30,752.88
-29,710.73
-28,671.2
-27,634.1
-26,599.27
-25,566.56
-24,535.82
-23,506.93
-22,479.76
-21,454.2
-20,430.16
-19,407.45
-18,386.07
-17,365.93
-16,346.97
-15,329.09
-14,312.23
-13,296.34
-12,281.34
-11,267.19
-10,253.82
-9,241.12
-8,229.13
-7,217.81
-6,207.11
-5,197
-4,187.44
-3,178.4
-2,169.85
-1,161.76
0,154.09
1,146.82
2,139.93
3,133.41
4,127.22
5,121.36
6,115.8
7,110.53
8,105.53
9,100.78
10,96.27
11,91.99
12,87.93
13,84.06
14,80.39
15,76.9
16,73.57
17,70.41
18,67.4
19,64.54
20,61.82
21,59.22
22,56.75
23,54.39
24,52.14
25,50
26,47.96
27,45.98
28,44.1
29,42.31
30,40.6
31,38.97
32,37.42
33,35.94
34,34.52
35,33.18
36,31.89
37,30.66
38,29.48
39,28.36
40,27.28
41,26.26
42,25.28
43,24.34
44,23.44
45,22.58
46,21.76
47,20.97
48,20.21
49,19.49
50,18.79
51,18.12
52,17.48
53,16.86
54,16.27
55,15.7
56,15.15
57,14.63
58,14.12
59,13.64
60,13.17
61,12.73
62,12.3
63,11.88
64,11.49
65,11.1
66,10.74
67,10.38
68,10.04
69,9.71
70,9.4
71,9.1
72,8.8
73,8.52
74,8.25
75,7.99
76,7.74
77,7.49
78,7.26
79,7.03
80,6.82
81,6.61
82,6.4
83,6.21
84,6.02
85,5.84
86,5.66
87,5.48
88,5.31
89,5.15
90,4.9915
91,4.8391
92,4.6918
93,4.5495
94,4.4119
95,4.2791
96,4.1506
97,4.0265
98,3.9064
99,3.7903
100,3.678
101,3.5695
102,3.4645
103,3.3629
104,3.2646
105,3.1695
106,3.0775
107,2.9903
108,2.9058
109,2.824
110,2.7448
111,2.6682
112,2.5939
113,2.522
114,2.4523
115,2.3855
116,2.3209
117,2.2583
118,2.1976
119,2.1387
120,2.0817
121,2.0263
122,1.9727
123,1.9205
124,1.8701
125,1.8212
126,1.7736
127,1.7274
128,1.6827
129,1.6393
130,1.5972
131,1.5562
132,1.5165
133,1.4779
134,1.4405
135,1.4041
136,1.3688
137,1.3345
138,1.3012
139,1.2687
140,1.2373
141,1.2067
142,1.177
143,1.1481
144,1.12
145,1.0927
146,1.0661
147,1.0403
148,1.0152
149,0.9908
150,0.967
151,0.9439
152,0.9215
153,0.8996
154,0.8783
155,0.8576
156,0.8375
157,0.8178
158,0.7987
159,0.7802
160,0.7621
161,0.7445
162,0.7273
163,0.7106
164,0.6943
165,0.6785
166,0.6631
167,0.6481
168,0.6334
169,0.6192
170,0.6052
171,0.5917
172,0.5785
173,0.5657
174,0.5531
175,0.5408
176,0.5289
177,0.5173
178,0.506
179,0.495
180,0.4842
181,0.4736
182,0.4635
183,0.4534
184,0.4437
185,0.4341
186,0.4248
187,0.4158
188,0.407
189,0.3983
190,0.3899
191,0.3817
192,0.3737
193,0.3659
194,0.3582
195,0.3508
196,0.3435
197,0.3363
198,0.3294
199,0.3226
200,0.316
201,0.3095
202,0.3032
203,0.2971
204,0.291
205,0.2851
206,0.2794
207,0.2737
208,0.2683
209,0.2629
210,0.2577
211,0.2526
212,0.2475
213,0.2426
214,0.2378
215,0.2332
216,0.2286
217,0.2241
218,0.2197
219,0.2154
220,0.2112
221,0.2071
222,0.2031
223,0.1993
224,0.1954
225,0.1916
226,0.188
227,0.1844
228,0.1809
229,0.1775
230,0.1741
231,0.1708
232,0.1676
233,0.1645
234,0.1614
235,0.1583
236,0.1554
237,0.1526
238,0.1496
239,0.1469
240,0.1442
241,0.1416
242,0.139
243,0.1364
244,0.1339
245,0.1315
246,0.1291
247,0.1267
248,0.1244
249,0.1222
250,0.12
251,0.1178
252,0.1157
253,0.1136
254,0.1116
255,0.1096
256,0.1076
257,0.1058
258,0.1039
259,0.1021
260,0.1003
261,0.0985
262,0.0968
263,0.0951
264,0.0934
265,0.0918
266,0.0903
267,0.0887
268,0.0871
269,0.0857
270,0.0842
271,0.0827
272,0.0813
273,0.0799
274,0.0785
275,0.0772
276,0.0759
277,0.0747
278,0.0734
279,0.0721
280,0.0709
281,0.0697
282,0.0686
283,0.0674
284,0.0663
285,0.0651
286,0.0641
287,0.063
288,0.062
289,0.0609
290,0.06
291,0.059
292,0.058
293,0.0571
294,0.0561
295,0.0552
296,0.0543
297,0.0534
298,0.0526
299,0.0517
300,0.0509
